Queries,Actual Query,Overlapping URL,Google Rank,Bing Rank
Query 16,What is an exzmple of soliloquy,https://writingexplained.org/grammar-dictionary/soliloquy,5,8
Query 16,What is an exzmple of soliloquy,https://www.thoughtco.com/soliloquy-literary-definition-4169546,6,4
Query 17,Who invented first electirc stove and when,https://www.youtube.com/watch?v=ZCYGarXcFt0,10,8
Query 17,Who invented first electirc stove and when,https://www.thoughtco.com/history-of-the-oven-from-cast-iron-to-electric-1992212,5,6
Query 17,Who invented first electirc stove and when,https://www.cbsnews.com/news/almanac-the-first-electric-stove/,4,1
Query 18,What kind of cells make electricity from light,https://www.science.org.au/curious/technology-future/solar-pv,5,9
Query 18,What kind of cells make electricity from light,https://www.explainthatstuff.com/solarcells.html,9,8
Query 21,What is the sequence to obtain a DNA fingerprint,https://www.webmd.com/a-to-z-guides/dna-fingerprinting-overview,8,6
Query 21,What is the sequence to obtain a DNA fingerprint,https://www.encyclopedia.com/science-and-technology/biology-and-genetics/genetics-and-genetic-engineering/dna-fingerprinting,9,9
Query 22,Where is nadia comasneci 's academy the perfect ten,https://www.cnn.com/2012/04/03/sport/olympics-nadia-comaneci/index.html,10,10
Query 23,One pound of confectioners sugar equals how many ounces,https://www.bhg.com/recipes/how-to/bake/cups-in-one-pound-powdered-sugar/,3,1
Query 24,What skills are needed to become a surgeon to be successful,https://www.rcseng.ac.uk/careers-in-surgery/careers-support/skills-and-qualities-of-a-surgeon/,3,3
Query 25,How much does a 1996 chevy lumina weigh,https://www.edmunds.com/chevrolet/lumina/1996/features-specs/,1,1
Query 25,How much does a 1996 chevy lumina weigh,https://www.automobile-catalog.com/make/chevrolet_usa/lumina_2gen/lumina_2gen_sedan/1996.html,4,3
Query 28,How much did the vietnam war cost per day,https://thevietnamwar.info/how-much-vietnam-war-cost/,1,7
Query 28,How much did the vietnam war cost per day,https://alphahistory.com/vietnamwar/costs-of-the-vietnam-war/,9,2
Query 28,How much did the vietnam war cost per day,https://www.usatoday.com/story/money/2019/06/13/cost-of-war-13-most-expensive-wars-in-us-history/39556983/,5,1
Query 29,Largest living life on earth,https://www.newscientist.com/gallery/biggest-organisms/,9,1
Query 29,Largest living life on earth,https://owlcation.com/stem/largest-living-thing-on-earth,6,9
Query 30,The twinkling of stars is caused by,https://www.livescience.com/32315-why-do-stars-twinkle.html,5,2
Query 30,The twinkling of stars is caused by,https://en.wikipedia.org/wiki/Twinkling,2,6
Query 31,What kind of music is listened toin costa rica,https://www.costarica.com/culture/costa-rican-music,2,3
Query 31,What kind of music is listened toin costa rica,https://www.donquijote.org/costarican-culture/traditions/music/,4,4
Query 31,What kind of music is listened toin costa rica,https://costarica.org/people/music/,8,1
Query 32,Width of a football field in yards,https://en.wikipedia.org/wiki/American_football_field,2,3
Query 33,What is revolution of the sun,https://www.thoughtco.com/revolution-geography-definition-1434848,2,2
Query 34,How do snakes adapt to there enviornment,https://www.snakesforpets.com/how-do-snakes-adapt-to-the-desert/,6,3
Query 34,How do snakes adapt to there enviornment,https://sciencing.com/snakes-adapt-forest-8701682.html,3,5
Query 34,How do snakes adapt to there enviornment,http://www.primaryhomeworkhelp.co.uk/adaptations/snakes.htm,5,10
Query 35,Lil wayne 's favorite type of movie,https://en.wikipedia.org/wiki/Lil_Wayne,3,10
Query 36,Where to get legendary pokemon on tppcrpg,https://wiki.tppc.info/Legendary_Pok%C3%A9mon,1,1
Query 36,Where to get legendary pokemon on tppcrpg,https://bulbapedia.bulbagarden.net/wiki/TPPC,9,5
Query 38,Does she love corbin blu,https://people.com/celebrity/corbin-bleu-and-sasha-clements-are-married/,4,1
Query 39,What is grammatical cohesion,https://en.wikipedia.org/wiki/Cohesion_(linguistics),2,2
Query 40,What family does a lizard come from,https://en.wikipedia.org/wiki/Lizard,1,2
Query 40,What family does a lizard come from,https://a-z-animals.com/animals/lizard/,5,8
Query 40,What family does a lizard come from,https://www.livescience.com/56017-lizard-facts.html,3,7
Query 41,How much do event planners make yearly,https://money.usnews.com/careers/best-jobs/meeting-convention-and-event-planner/salary,9,9
Query 41,How much do event planners make yearly,https://www.careerexplorer.com/careers/event-planner/salary/,10,3
Query 41,How much do event planners make yearly,"https://www.glassdoor.com/Salaries/event-planner-salary-SRCH_KO0,13.htm",4,2
Query 42,What did the person that invented the first motor bike look like,https://www.wired.com/2011/08/0830daimler-first-true-motorcycle/,6,9
Query 42,What did the person that invented the first motor bike look like,https://www.thevintagenews.com/2016/03/20/first-motorcycle-built-1885-called-reitwagen-riding-car/,9,10
Query 42,What did the person that invented the first motor bike look like,https://www.thoughtco.com/history-of-the-motorcycle-1992151,4,2
Query 42,What did the person that invented the first motor bike look like,https://en.wikipedia.org/wiki/History_of_the_motorcycle,1,4
Query 42,What did the person that invented the first motor bike look like,http://www.bicyclehistory.net/motorcycle-history/first-motorcycle/,3,1
Query 45,How do you get rid of acene fast,https://www.healthline.com/nutrition/get-rid-of-pimples-fast,2,6
Query 45,How do you get rid of acene fast,https://www.goodhousekeeping.com/beauty/anti-aging/a36395/how-to-quickly-get-rid-of-pimples/,5,3
Query 45,How do you get rid of acene fast,https://www.glamour.com/story/how-to-get-rid-of-a-pimple,1,2
Query 46,What is a moderately slow oven,https://en.wikipedia.org/wiki/Oven_temperatures,1,3
Query 48,What are some commensasm relationships,https://biologydictionary.net/commensalism/,8,5
Query 48,What are some commensasm relationships,https://www.thoughtco.com/commensalism-definition-and-examples-4114713,1,1
Query 48,What are some commensasm relationships,https://en.wikipedia.org/wiki/Commensalism,6,8
Query 48,What are some commensasm relationships,https://www.britannica.com/science/commensalism,5,3
Query 49,Where are the Black Hills located,https://www.britannica.com/place/Black-Hills,5,1
Query 49,Where are the Black Hills located,https://www.blackhillsbadlands.com/,3,4
Query 49,Where are the Black Hills located,https://en.wikipedia.org/wiki/Black_Hills,1,2
Query 49,Where are the Black Hills located,https://www.blackhillsbadlands.com/maps,2,10
Query 49,Where are the Black Hills located,https://www.fs.usda.gov/blackhills,7,7
Query 50,What caused worldwide economic crisis,https://www.history.com/topics/21st-century/recession,5,5
Query 51,Where does a snowstorm less likely happen,https://scied.ucar.edu/learning-zone/storms/blizzards,1,4
Query 52,Class action lawsuit,https://www.consumer-action.org/lawsuits/by-status/open,1,7
Query 52,Class action lawsuit,https://topclassactions.com/category/lawsuit-settlements/open-lawsuit-settlements/,2,1
Query 52,Class action lawsuit,https://www.classaction.com/lawsuits/,10,6
Query 52,Class action lawsuit,https://www.classaction.org/settlements,4,4
Query 53,Stratified random sampling,https://www.investopedia.com/terms/stratified_random_sampling.asp,2,2
Query 53,Stratified random sampling,https://en.wikipedia.org/wiki/Stratified_sampling,3,5
Query 55,Who was in spains first government,https://www.britannica.com/place/Spain/Government-and-society,1,1
Query 55,Who was in spains first government,https://en.wikipedia.org/wiki/Government_of_Spain,2,2
Query 55,Who was in spains first government,https://en.wikipedia.org/wiki/Politics_of_Spain,3,3
Query 56,What si social darwinism,https://www.history.com/topics/early-20th-century-us/social-darwinism,3,1
Query 56,What si social darwinism,https://en.wikipedia.org/wiki/Social_Darwinism,4,2
Query 57,Persecution of the christian church,https://en.wikipedia.org/wiki/Persecution_of_Christians_in_the_Roman_Empire,1,9
Query 58,Where does saltwater sponges live,https://en.wikipedia.org/wiki/Sponge,4,4
Query 58,Where does saltwater sponges live,https://oceanservice.noaa.gov/facts/sponge.html,3,1
Query 58,Where does saltwater sponges live,https://www.thoughtco.com/sponges-profile-2291833,6,6
Query 59,The photic zone has an maximum depth of,https://oceanservice.noaa.gov/facts/light_travel.html,1,4
Query 59,The photic zone has an maximum depth of,https://www.britannica.com/science/photic-zone,3,1
Query 59,The photic zone has an maximum depth of,https://www.sciencedirect.com/topics/earth-and-planetary-sciences/photic-zone,4,9
Query 61,What are the various irrigation practices in the villages,https://en.wikipedia.org/wiki/Irrigation,5,9
Query 63,10 common defects characteristics in timber,https://civilseek.com/defects-in-timber/,1,7
Query 67,Branches on every division of philosophy,https://en.wikibooks.org/wiki/Introduction_to_Philosophy/The_Branches_of_Philosophy,4,2
Query 70,How many millimeter in one liter,https://www.thecalculatorsite.com/conversions/liquidvolume/milliliters-to-liters.php,6,6
Query 70,How many millimeter in one liter,https://www.calculateme.com/volume/liters/to-milliliters/1,7,5
Query 70,How many millimeter in one liter,https://www.convertunits.com/from/ml/to/liter,8,4
Query 71,What language do people speak in Angola,https://www.worldatlas.com/articles/what-languages-are-spoken-in-angola.html,3,1
Query 71,What language do people speak in Angola,https://www.justlanded.com/english/Angola/Angola-Guide/Language/Languages-in-Angola,1,3
Query 74,How many teaspoons in one half ounce liquid,https://www.inchcalculator.com/convert/fluid-ounce-to-teaspoon/,7,2
Query 74,How many teaspoons in one half ounce liquid,https://www.calculateme.com/volume/fluid-ounces/to-teaspoons/1,4,5
Query 74,How many teaspoons in one half ounce liquid,https://www.asknumbers.com/teaspoon-to-ounce.aspx,1,8
Query 75,What are some cheerleading facts,https://www.factretriever.com/cheerleading-facts,4,1
Query 75,What are some cheerleading facts,https://sportsaspire.com/interesting-facts-about-cheerleading,8,6
Query 75,What are some cheerleading facts,https://en.wikipedia.org/wiki/Cheerleading,10,9
Query 76,When is the coast guard day celebrated,https://www.military.com/coast-guard-birthday,6,4
Query 76,When is the coast guard day celebrated,https://www.uso.org/stories/2273-9-coast-guard-facts,3,8
Query 76,When is the coast guard day celebrated,https://www.military.com/military-appreciation-month/origins-of-coast-guard-day.html,5,2
Query 76,When is the coast guard day celebrated,https://nationaltoday.com/u-s-coast-guard-birthday/,10,3
Query 76,When is the coast guard day celebrated,https://www.cnn.com/2019/08/04/us/coast-guard-day-trnd/index.html,8,6
Query 77,How far away it is from mercury,https://www.space.com/18646-mercury-distance.html,2,1
Query 77,How far away it is from mercury,https://www.universetoday.com/14163/how-far-is-mercury-from-the-sun/,4,10
Query 79,Worlds largest chicken,https://largest.org/animals/chicken-breeds/,1,8
Query 79,Worlds largest chicken,https://www.h2ouse.org/largest-chicken-breed/,4,7
Query 80,What is the postal code of kentucky,https://www.zipcodestogo.com/Kentucky/,1,3
Query 80,What is the postal code of kentucky,https://www.geonames.org/postal-codes/US/KY/kentucky.html,2,8
Query 80,What is the postal code of kentucky,https://www.zip-codes.com/state/ky.asp,5,2
Query 80,What is the postal code of kentucky,https://www.unitedstateszipcodes.org/ky/,6,1
Query 80,What is the postal code of kentucky,https://worldpostalcode.com/united-states/kentucky/,7,5
Query 81,What creates a sandstorm,https://www.wonderopolis.org/wonder/what-causes-sandstorms,3,3
Query 83,How do you get the keys in sleuthhound,https://forums2.battleon.com/f/tm.asp?m=17362925,1,2
Query 83,How do you get the keys in sleuthhound,http://aqwwiki.wikidot.com/sleuthhound-inn,2,7
Query 84,Where is the largest bridgewho built itwhat kind of bridge is it,https://www.livescience.com/34448-worlds-longest-bridge.html,1,3
Query 85,Apakah kraf tangan yang dibuat pada kain songket,https://en.wikipedia.org/wiki/Songket,1,9
Query 85,Apakah kraf tangan yang dibuat pada kain songket,https://ms.wikipedia.org/wiki/Songket,2,2
Query 88,How many atoms are contained in eachmolecule of sulfuric acid,https://socratic.org/questions/the-formula-of-sulfuric-acid-is-h-so-4-how-many-atoms-of-hydrogen-sulfur-and-oxy,2,8
Query 88,How many atoms are contained in eachmolecule of sulfuric acid,https://brainly.com/question/1197487,3,1
Query 89,Who is the most famous african american mathmatician,https://www.math.upenn.edu/about/department-history/pioneer-african-american-mathematicians,8,9
Query 89,Who is the most famous african american mathmatician,https://en.wikipedia.org/wiki/List_of_African-American_mathematicians,3,2
Query 90,What kind of cultures do chile have,https://www.adventure-life.com/chile/articles/culture-of-chile,2,1
Query 90,What kind of cultures do chile have,https://www.worldatlas.com/articles/culture-of-chile.html,5,3
Query 90,What kind of cultures do chile have,https://www.everyculture.com/Bo-Co/Chile.html,4,6
Query 90,What kind of cultures do chile have,https://en.wikipedia.org/wiki/Culture_of_Chile,1,2
Query 91,Gas was used for balloons long time ago,https://en.wikipedia.org/wiki/Gas_balloon,1,2
Query 91,Gas was used for balloons long time ago,https://balloonfiesta.com/Gas-Balloons-History,3,5
Query 93,Can dogs eat pomegranite seeds,https://www.rover.com/blog/can-dog-eat-pomegranate/,1,5
Query 94,Really interesting facts about hernando cortez,https://www.britannica.com/biography/Hernan-Cortes,10,9
Query 94,Really interesting facts about hernando cortez,https://www.history.com/topics/exploration/hernan-cortes,7,5
Query 94,Really interesting facts about hernando cortez,https://learnodo-newtonic.com/hernan-cortes-facts,5,7
Query 95,What language ia used in greece,https://www.greeka.com/greece-culture/language/,10,10
Query 95,What language ia used in greece,https://en.wikipedia.org/wiki/Languages_of_Greece,1,1
Query 95,What language ia used in greece,https://www.britannica.com/topic/Greek-language,5,2
Query 96,Who is the most famous artist in guatemala,https://www.last.fm/tag/guatemala/artists,8,8
Query 96,Who is the most famous artist in guatemala,https://www.britannica.com/biography/Carlos-Merida,5,9
Query 97,What are some fun sex games,https://www.cosmopolitan.com/sex-love/g3801/naughty-sex-games/,3,2
Query 98,How does an elephant attract its mate,https://sciencing.com/elephants-mate-4574022.html,2,5
Query 98,How does an elephant attract its mate,https://science.jrank.org/pages/2423/Elephant-Mating.html,3,6
Query 99,How many calories in cooked beef,https://www.fatsecret.com/calories-nutrition/generic/ground-beef-regular-cooked,9,4
Query 99,How many calories in cooked beef,https://www.nutritionix.com/food/beef-cooked,2,1
